TMAR1	Trogulus martensi
EZAR1	Eukoenenia zariquieyi
PWHE1	Prokoenenia wheeleri
OROS1	Ornithodoros rostratus
AAME1	Amblyomma americanum
DAND1	Dermacentor andersoni
HEXC1	Hyalomma excavatum
ISCA1	Ixodes scapularis
RSAN1	Rhipicephalus sanguineus
DGAL1	Dermanyssus gallinae
TMER1	Tropilaelaps mercedesae
GOCC1	Galendromus occidentalis
VDES1	Varroa destructor
VJAC1	Varroa jacobsoni
NEOC1	Neocarus sp. MCZ IZ 162194
OPSP1	Opilioacaridae sp. CSL-2018
OTEX1	Opilioacarus texanus
BWIT1	Bochica withi
PAPE1	Parachelifer persimilis
PROT2	Protochelifer sp. MCZ 49984
CGEL1	Cybella gelanggi
SAPI1	Synsphyronus apimelus
GYMN1	Gymnobisium sp. MCZ 139238
APOL1	Apolpium sp. MCZ 144360
PSUB1	Parahya submersa
PSSP1	Pseudotyrannochthonius sp. B LB-2019
STSP1	Sternophoridae sp. MCZ 133496
ICRA1	Ideobisium crassimanum
CSEG1	Cacodemonius sp. MCZ 144363
CBEC1	Cryptocellus becki
CRYP1	Cryptocellus sp. n. RF-2015
RATE1	Ricinoides atewa
SPOR1	Stenochrus portoricensis
CSCU1	Centruroides sculpturatus
BGRA1	Brotheas granulatus
UMOR1	Uroctonus mordax
CCEL1	Chaerilus celebensis
MGER1	Megacormus gertschi
SCOR1	Scorpiops sp. PPS-2014
TSTE1	Troglokhammouanus steineri
PIMP1	Pandinus imperator
UELO1	Urodacus elongatus
SDON1	Superstitionia donensis
KACA1	Konetontli acapulco
PBAE1	Paruroctonus baergi
UHUA1	Uroctonites huachuca
VMEX1	Vaejovis mexicanus
GALE2	Galeodes sp. JLF-2018
SOLP1	Solpugema sp. MCZ 49525
MGIG1	Mastigoproctus giganteus
PFLA1	Pallenella flava
SCHE1	Stylopallene cheilorhynchus
NMOL1	Nymphon molleri
NYGR1	Nymphon gracile
ANIN1	Anoplodactylus insignis
PFEM1	Phoxichilidium cf. femoratum JB-2020
PLIT1	Pycnogonum litorale
TORB1	Tanystylum orbiculare
CTAS1	Craterostigmus tasmanianus
HBRE1	Henia brevis
HILL1	Henia illyrica
CFLA1	Clinopodes flavidus
SLIN1	Stenotaenia linearis
HGAB1	Himantarium gabrielis
SACU1	Strigamia acuminata
SMAR2	Strigramia maritima
MGUI1	Mecistocephalus guildingii
TJAV1	Tygarrup javanicus
NGRA1	Notiphilides grandis
HSUB1	Hydroschendyla submarina
SCAR1	Schendyla carniolensis
AGIR1	Anopsobius giribeti
PVAL1	Paralamyctes validus
LINI1	Lithobius niger
CANO1	Cryptops anomalans
CHOR1	Cryptops hortensis
TSPI1	Theatops spinicaudus
AGRA1	Alipes grandidieri
RIMM1	Rhysida immarginata
RLON1	Rhysida longipes
SBAH1	Scolopendropsis bahiensis
SCIN1	Scolopendra cingulata
NADI1	Newportia adisi
SRUB1	Scolopocryptops rubiginosus
SSEX1	Scolopocryptops sexspinosus
SCOL3	Scutigera coleoptrata
TTUB1	Thereuonema tuberculata
SWEB1	Scutigerina weberi
CRAS1	Craspedosoma sp. AD-2016
GMAE1	Glomeris maerens
HMUL1	Haploglomeris multistriata
GMIN1	Glomeridella minima
GLOM1	Glomeridesmus sp. MITS489
ATON1	Anaulaciulus tonginus
CYLI1	Cylindroiulus sp. RF-2016
BLEC1	Brachycybe lecontii
NNOD1	Niponia nodulosa
HHOL2	Helicorthomorpha holstii
PCOM1	Polydesmus complanatus
PSEU1	Pseudopolydesmus sp. MB-2013
ETAI1	Eudigraphis taiwanensis
ETAK1	Eudigraphis takakuwai
PLAG1	Polyxenus lagurus
PGER1	Polyzonium germanicum
TCOR2	Trigoniulus corallinus
AORN1	Acopauropus ornatus
PHUX1	Pauropus huxleyi
SYMP1	Symphylella sp. AD-2014
HANS2	Hanseniella sp. RF-2016
HNIV1	Hanseniella nivea
ASAL1	Artemia salina
BLIN1	Branchinecta lindahli
AEMA1	Anchistropus emarginatus
CHIS1	Cyclestheria hislopi
OPIL1	Ozestheria pilosa
ORUB1	Ozestheria rubra
CCFQ1	Ceriodaphnia quadrangula
DMAG2	Daphnia magna
SMUC1	Scapholeberis cf. mucronata
SVET1	Simocephalus vetulus
EOCY1	Eocyzicus sp. MCZ IZ 50104
ETIC1	Eoleptestheria cf. ticinensis MCZ IZ 50108
EULI1	Eulimnadia sp. MCZ IZ 50085
PURU1	Paralimnadia urukhai
LYNC1	Lynceus sp. MCZ IZ 141354
MACR1	Macrotrichidae
MOIN1	Moina sp. MCZ IZ 74079
ENOR1	Evadne cf. nordmanni MCZ IZ 68046
SCRY1	Sida crystallina
LAPU1	Lepidurus apus apus
LCOU1	Lepidurus couessii
LCRY1	Lepidurus cryptus
TCAN1	Triops cancriformis
TGRA1	Triops granarius
TNEW1	Triops newberryi
TRIL2	Triops longicaudatus
LDAH1	Leptestheria dahalacensis
HMAC1	Hutchinsoniella macracantha
LINC1	Lightiella incisa
CFIN1	Calanus finmarchicus
EAFF1	Eurytemora affinis
ESER1	Eucyclops serrulatus
AROY1	Apocyclops royi
LCYP1	Lernaea cyprinacea
TICA2	Tigriopus californicus
TJAP1	Tigriopus japonicus
ASIA1	Argulus siamensis
GJAP1	Grandidierella japonica
EBER1	Echinogammarus berilloni
GLOC1	Gammarus locusta
HAZT1	Hyalella azteca
PHAW1	Parhyale hawaiensis
NHRA1	Niphargus hrabei
HQUA1	Halice quarta
BSCH1	Bathycallisoma schellenbergi
OGRI1	Orchestia grillus
PLSP1	Platorchestia sp.
TASA1	Talitrus saltator
TRLO1	Trinorchestia longiramus
AAST1	Astacus astacus
HALR1	Halocaridina rubra
NDAV1	Neocaridina davidi
NEDE1	Neocaridina denticulata
PARU1	Paratya australiensis
PRCL1	Procambarus clarkii
CHAN1	Chorismus antarcticus
HINE1	Hippolyte inermis
LWUR1	Lysmata wurdemanni
HAME2	Homarus americanus
MNIP2	Macrobrachium nipponense
PORN1	Panulirus ornatus
CQUA2	Cherax quadricarinatus
FCHI1	Fenneropenaeus chinensis
PMON2	Penaeus monodon
PVAN1	Penaeus vannamei
ACHI1	Acetes chinensis
ESIM1	Eusergestes similis
LULU1	Lucensosergia lucens
PARM1	Parasergestes armatus
BLAT1	Birgus latro
CCLY1	Coenobita clypeatus
PCAM1	Paralithodes camtschaticus
PLAM1	Petrolisthes lamarckii
CARM1	Cardisoma armatum
GLAT1	Gecarcinus lateralis
GALB1	Grapsus albolineatus
MFRO1	Metopograpsus frontalis
PAMA1	Pachygrapsus marmoratus
COPI1	Chionoecetes opilio
MSCU1	Mithraculus sculptus
OCER1	Ocypode ceratophthalmus
PSQU1	Plagusia squamosa
POTR1	Portunus trituberculatus
CHHA1	Chiromantes haematocheir
NIND1	Neosarmatium indicum
PAFF1	Parasesarma affine
ESIN1	Eriocheir sinensis
GDEP1	Gaetice depressus
MELO1	Metaplax longipes
LNTO1	Leptodius sp. NTOU-LMT-BRA0070
UAFR1	Upogebia africana
EPAC1	Euphausia pacifica
MNOR1	Meganyctiphanes norvegica
TINE1	Thysanoessa inermis
ANAS1	Armadillidium nasatum
AVUL2	Armadillidium vulgare
AAQU1	Asellus aquaticus
LCUL1	Lirceus culveri
PJAL1	Proasellus jaloniacus
GANT1	Glyptonotus antarcticus
BJAM1	Bathynomus jamesi
LEXO1	Ligia exotica
MISO1	Ligia oceanica 
PASU1	Paraplatyarthrus subterraneus
PPRU1	Porcellionides pruinosus
STER1	Sphaeroma terebrans
NBIP1	Nebalia bipes
LMAC1	Lysiosquilla maculata
ORAT1	Oratosquilla oratoria
AMIS1	Agathotanais misakiensis
PQUI1	Pseudosphyrapus quintolongus
TKOM1	Tanaella kommritzia
CSPM1	Cylindroleberidinae sp. MS-2016
VHIL1	Vargula hilgendorfii
PHAN1	Photeros annecohenae
HINC1	Heterocypris incongruens
NMON1	Notodromas monacha
CTOR1	Cyprideis torosa
DSTE1	Darwinula stevensoni 
PAVE1	Pontocypris avena
GFRO1	Godzilliognomus frondosus
PAPL1	Pleomothra apletocheles
MWIL1	Morlockia williamsi
XTUL1	Xibalbanus tulumensis
AAMP1	Amphibalanus amphitrite
TEJA1	Tetraclita japonica
PPOL3	Pollicipes pollicipes
FCAN1	Folsomia candida
OCIN1	Orchesella cincta
POGO1	Pogonognathellus sp. AD-2013
TQIN1	Tomocerus qinae
AMAR1	Anurida maritima
LWEB1	Lepidocampa weberi
OJAP1	Occasjapyx japonicus
OCSI1	Octostigma sinensis
ACER1	Acerentomon sp. AD-2013
BAMO1	Baculentulus morikawai
FTAK1	Filientomon takanawanum
NNIP1	Nipponentomon nippon
ESAK1	Eosentomon sakura
MHRA1	Machilis hrabei
BATR1	Blaberus atropos
PAME3	Periplaneta americana
BGER4	Blattella germanica
CSEC1	Cryptotermes secundus
PSIM1	Prorhinotermes simplex
ZNEV1	Zootermopsis nevadensis
AINS1	Amphizoa insolens
CJAP1	Cybister japonicus
GMAR2	Gyrinus marinus
PPYR3	Photinus pyralis
LEPI1	Lepicerus sp. AD-2013
OTAU1	Onthophagus taurus
TCAS1	Tribolium castaneum
ACHA1	Apachyus charteceus
FAUR1	Forficula auricularia
LLUC1	Lipara lucens
AAEG1	Aedes aegypti
AGAM1	Anopheles gambiae
AMER1	Anopheles merus
DMEL1	Drosophila melanogaster
DPSE1	Drosophila pseudoobscura
EHIA1	Cirrula hians
SSTA1	Scatella stagnalis
BCOP1	Bradysia coprophila
AJAP1	Aposthonia japonica
BAET1	Baetis sp. AD-2013
CDIP1	Cloeon dipterum
APIS1	Acyrthosiphon pisum
CVUL1	Cercopis vulnerata
CLEC1	Cimex lectularius
TRCA1	Trichocorixa calva
NLUG1	Nilaparvata lugens
GBUE1	Gerris buenoi
NELO1	Notostira elongata
RPRO1	Rhodnius prolixus
AMEL1	Apis mellifera
CVIR1	Chrysis viridula
NFUL1	Nylanderia fulva
NVIT1	Nasonia vitripennis
NDEG1	Nemophora degeerella
BMOR1	Bombyx mori
SFRU1	Spodoptera frugiperda
DPLE1	Danaus plexippus plexippus
PEUR1	Parides eurimedes
ZCES1	Zerene cesonia
HFOR1	Hierodula formosana
BHYE1	Boreus hyemalis
CCOR1	Corydalus cornutus
CSIM1	Ctenochauliodes similis
CNIP1	Chrysoperla nipponensis
ISEL1	Ischnura elegans
ISEN1	Ischnura senegalensis
CBOL1	Cordulegaster boltonii
LMIG1	Locusta migratoria manilensis
GRYL1	Gryllotalpa sp. AD-2013
TSUB1	Tetrix subulata
AASP1	Aretaon asperrimus
TCAL1	Timema californicum
MGAL1	Menopon gallinae
PHUM1	Pediculus humanus
FLAV1	Flavoperla sp. YW-2014
EBRI1	Ectopsocus briggsi
LIPO1	Liposcelis sp. PH-2016
CGAL1	Ceratophyllus gallinae
CFEL1	Ctenocephalides felis
XVES1	Xenos vesparum
TPAL2	Thrips palmi
HYDR1	Hydroptila sp. AD-2013
TGER1	Tricholepidion gertschi
TDOM1	Thermobia domestica
AFOR1	Atelura formicaria
NANO1	Novocrania anomala
GPYR1	Glottidia pyramidata
LANA1	Lingula anatina
HPSI1	Hemithiris psittacea
LCAL1	Laqueus californianus
TTRA1	Terebratalia transversa
MVEN1	Magellania venosa
BNER1	Bugula neritina
DFRU1	Dendrobeania fruticosa
TMEM1	Terminoflustra membranaceotruncata
WSUB1	Watersipora subtorquata
ALCY1	Alcyonidium sp. KMK-2022
CMUC1	Cristatella mucedo
FSUL1	Fredericella sultana
PMAG1	Pectinatella magnifica
BBEL1	Branchiostoma belcheri
BFLO1	Branchiostoma floridae
BLAN1	Branchiostoma lanceolatum
KSUB1	Krohnitta subtilis
PDRA1	Pterosagitta draco
FHEX1	Flaccisagitta hexaptera
PGAZ1	Pseudosagitta gazellae
PSET1	Parasagitta setosa
SSER1	Serratosagitta serratodentata
PAEL1	Parasagitta elegans
EHAM1	Eukrohnia hamata
PGOT1	Paraspadella gotoi
SCEP1	Spadella cephaloptera
ATEN1	Actinia tenebrosa
NVEC1	Nematostella vectensis
DCRI1	Dendrophyllia cribrosa
MVIR1	Morbakka virulenta
HVUL1	Hydra vulgaris
RESC1	Rhopilema esculentum
EBUR1	Eptatretus burgeri
PETM1	Petromyzon marinus
ARUT1	Acipenser ruthenus
PSPA1	Polyodon spathula
AMCA1	Amia calva
ATES1	Anabas testudineus
BSPL1	Betta splendens
ANGU1	Anguilla anguilla
SKAU1	Synaphobranchus kaupii
MMEN1	Menidia menidia
ENAU1	Echeneis naucrates
AMEX1	Astyanax mexicanus
DCLU1	Denticeps clupeoides
DRER1	Danio rerio
XCOU1	Xiphophorus couchianus
KMAR1	Kryptolebias marmoratus
NWHI1	Nematolebias whitei
MCYP1	Megalops cyprinoides
ELUC1	Esox lucius
GMOR1	Gadus morhua
BSIN1	Bostrychus sinensis
BPEC1	Boleophthalmus pectinirostris
PERM1	Periophthalmus magnuspinnatus
CCHA1	Chanos chanos
EELE1	Electrophorus electricus
EIVI1	Eigenmannia virescens
MMUR1	Myripristis murdjan
SORB1	Sphaeramia orbicularis
LESA1	Lepidogalaxias salamandroides
ASPA1	Atractosteus spatula
LOCU1	Lepisosteus oculatus
AGIG1	Arapaima gigas
SFOR1	Scleropages formosus
CLUM1	Cyclopterus lumpus
SUMB1	Sebastes umbrosus
SMAX1	Scophthalmus maximus
ECAL1	Erpetoichthys calabaricus
POSE1	Polypterus senegalus
CLMA1	Clarias magur
AMME1	Ameiurus melas
MARM1	Mastacembelus armatus
MALB1	Monopterus albus
LCHA1	Latimeria chalumnae
LMEN1	Latimeria menadoensis
LPRA1	Lepisdosiren pradoxa
PAET1	Protopterus aethiopicus
PANN1	Protopterus annectens
BBOM1	Bombina bombina
ATRU1	Ascaphus truei
BROT1	Brachycephalus rotenbergae
BGAR1	Bufo gargarizans
ECOQ1	Eleutherodactylus coqui
ENPU1	Engystomops pustulosus
LLEI1	Leptobrachium leishanense
MFIS1	Microhyla fissipes
UMAH1	Uperoleia mahonyi
XLAE1	Xenopus laevis
XTRO1	Xenopus tropicalis
RTEM1	Rana temporaria
GSER1	Geotrypetes seraphini
RBIV1	Rhinatrema bivittatum
MUNI1	Microcaecilia unicolor
BYEN1	Batrachuperus yenyuanensis
HRET1	Hynobius retardatus
HSTR1	Hydromantes strinatii
PLCI1	Plethodon cinereus
SSAL1	Salamandra salamandra
CHLA1	Chiroxiphia lanceolata
